node,x,y
151,406678.0222,4236554.086
152,406678.0222,4236554.086
153,406562.1889,4236774.721
154,406562.1889,4236774.721
155,406473.9349,4236945.713
156,406473.9349,4236945.713
157,406462.9031,4237138.768
158,406462.9031,4237138.768
159,406440.8396,4237359.403
160,406440.8396,4237359.403
161,406336.038,4237398.015
162,406336.038,4237398.015
163,406363.6174,4237563.491
164,406363.6174,4237563.491
165,406325.0063,4237635.197
166,406325.0063,4237635.197
167,406286.3952,4237695.872
168,406286.3952,4237695.872
169,406258.8158,4237899.959
170,406258.8158,4237899.959
171,406253.2999,4238098.531
172,406253.2999,4238098.531
173,406170.5618,4238225.396
174,406170.5618,4238225.396
175,406093.3396,4238407.42
176,406093.3396,4238407.42
177,406060.2443,4238484.642
178,406060.2443,4238484.642
179,406214.6888,4238743.888
180,406214.6888,4238743.888
181,406005.0856,4238909.364
182,406005.0856,4238909.364
183,405977.5062,4239003.134
184,405977.5062,4239003.134
185,406027.1491,4239152.063
186,406027.1491,4239152.063
187,406313.9745,4239383.729
188,406313.9745,4239383.729
189,406413.2603,4239488.531
190,406413.2603,4239488.531
191,406694.5699,4239819.483
192,406694.5699,4239819.483
193,407058.6176,4240525.515
194,407058.6176,4240525.515
195,407637.7844,4240873.015
196,407637.7844,4240873.015
197,407836.3558,4241126.746
198,407836.3558,4241126.746
199,408090.0861,4241656.269
200,408090.0861,4241656.269
201,408233.4988,4241943.095
202,408233.4988,4241943.095
203,408266.594,4242152.698
204,408266.594,4242152.698
205,408393.4592,4242268.532
206,408393.4592,4242268.532
207,408525.8401,4242428.492
208,408525.8401,4242428.492
209,408603.0624,4242687.738
210,408603.0624,4242687.738
211,408680.2846,4242935.952
212,408680.2846,4242935.952
213,408685.8005,4243013.175
214,408685.8005,4243013.175
215,408614.0941,4243079.365
216,408614.0941,4243079.365
217,408564.4513,4243211.746
218,408564.4513,4243211.746
219,408503.7766,4243349.643
220,408503.7766,4243349.643
221,408542.3878,4243487.54
222,408542.3878,4243487.54
223,408663.737,4243597.857
224,408663.737,4243597.857
225,408829.2132,4243653.016
226,408829.2132,4243653.016
227,408972.626,4243873.651
228,408972.626,4243873.651
229,409016.7529,4244132.897
230,409016.7529,4244132.897
231,409071.9117,4244243.215
232,409071.9117,4244243.215
233,409270.4832,4244370.08
234,409270.4832,4244370.08
235,409259.4514,4244579.683
236,409259.4514,4244579.683
237,409342.1895,4244684.484
238,409347.7054,4244684.484
239,409612.4674,4244838.929
240,409612.4674,4244838.929
241,409777.9436,4245004.405
242,409777.9436,4245004.405
243,409899.2928,4245103.691
244,409899.2928,4245103.691
245,410048.2214,4245180.913
246,410048.2214,4245180.913
247,409943.4198,4245252.62
248,409943.4198,4245252.62
249,410020.6421,4245362.937
250,410020.6421,4245362.937
251,409838.6182,4245517.381
252,409838.6182,4245517.381
253,409761.396,4245677.342
254,409761.396,4245677.342
255,409380.8007,4245909.009
256,409380.8007,4245909.009
257,409397.3483,4246041.39
258,409397.3483,4246041.39
259,409551.7928,4246129.644
260,409551.7928,4246129.644
261,409634.5309,4246289.604
262,409634.5309,4246289.604
263,409568.3404,4246366.826
264,409568.3404,4246366.826
265,409424.9276,4246444.048
266,409424.9276,4246444.048
267,409204.2927,4246460.596
268,409204.2927,4246460.596
269,409038.8164,4246444.048
270,409038.8164,4246444.048
271,408956.0783,4246510.239
272,408956.0783,4246510.239
273,408950.5625,4246626.072
274,408950.5625,4246626.072
275,409027.7847,4246775.001
276,409027.7847,4246775.001
277,408967.1101,4246841.191
278,408967.1101,4246841.191
279,408685.8005,4247012.183
280,408685.8005,4247017.699
281,408796.118,4247155.596
282,408796.118,4247155.596
